location_id,date,number_confirmed_cases
China (Sichuan),1/22/20,5
China (Tianjin),1/22/20,4
China (Tibet),1/22/20,0
China (Xinjiang),1/22/20,0
China (Yunnan),1/22/20,1
China (Zhejiang),1/22/20,10
Colombia,1/22/20,0
Congo (Brazzaville),1/22/20,0
Congo (Kinshasa),1/22/20,0
Costa Rica,1/22/20,0
Cote d'Ivoire,1/22/20,0
Croatia,1/22/20,0
Diamond Princess,1/22/20,0
Cuba,1/22/20,0
Cyprus,1/22/20,0
Czechia,1/22/20,0
Denmark (Faroe Islands),1/22/20,0
Denmark (Greenland),1/22/20,0
Denmark,1/22/20,0
Djibouti,1/22/20,0
Dominican Republic,1/22/20,0
Ecuador,1/22/20,0
Egypt,1/22/20,0
El Salvador,1/22/20,0
Equatorial Guinea,1/22/20,0
Eritrea,1/22/20,0
Estonia,1/22/20,0
Eswatini,1/22/20,0
Ethiopia,1/22/20,0
Fiji,1/22/20,0
Finland,1/22/20,0
France (French Guiana),1/22/20,0
France (French Polynesia),1/22/20,0
France (Guadeloupe),1/22/20,0
France (Mayotte),1/22/20,0
France (New Caledonia),1/22/20,0
France (Reunion),1/22/20,0
France (Saint Barthelemy),1/22/20,0
France (St Martin),1/22/20,0
France (Martinique),1/22/20,0
France,1/22/20,0
Gabon,1/22/20,0
Gambia,1/22/20,0
Georgia,1/22/20,0
Germany,1/22/20,0
Ghana,1/22/20,0
Greece,1/22/20,0
Guatemala,1/22/20,0
Guinea,1/22/20,0
Guyana,1/22/20,0
Haiti,1/22/20,0
Holy See,1/22/20,0
Honduras,1/22/20,0
Hungary,1/22/20,0
Iceland,1/22/20,0
India,1/22/20,0
Indonesia,1/22/20,0
Iran,1/22/20,0
Iraq,1/22/20,0
Ireland,1/22/20,0
Israel,1/22/20,0
Italy,1/22/20,0
Jamaica,1/22/20,0
Japan,1/22/20,2
Jordan,1/22/20,0
Kazakhstan,1/22/20,0
Kenya,1/22/20,0
"Korea, South",1/22/20,1
Kuwait,1/22/20,0
Kyrgyzstan,1/22/20,0
Latvia,1/22/20,0
Lebanon,1/22/20,0
Liberia,1/22/20,0
Liechtenstein,1/22/20,0
Lithuania,1/22/20,0
Luxembourg,1/22/20,0
Madagascar,1/22/20,0
Malaysia,1/22/20,0
Maldives,1/22/20,0
Malta,1/22/20,0
Mauritania,1/22/20,0
Mauritius,1/22/20,0
Mexico,1/22/20,0
Moldova,1/22/20,0
Monaco,1/22/20,0
Mongolia,1/22/20,0
Montenegro,1/22/20,0
Morocco,1/22/20,0
Namibia,1/22/20,0
Nepal,1/22/20,0
Netherlands (Aruba),1/22/20,0
Netherlands (Curacao),1/22/20,0
Netherlands (Sint Maarten),1/22/20,0
Netherlands,1/22/20,0
New Zealand,1/22/20,0
Nicaragua,1/22/20,0
Niger,1/22/20,0
Nigeria,1/22/20,0
North Macedonia,1/22/20,0
Norway,1/22/20,0
Oman,1/22/20,0
Pakistan,1/22/20,0
Panama,1/22/20,0
Papua New Guinea,1/22/20,0
Paraguay,1/22/20,0
Peru,1/22/20,0
Philippines,1/22/20,0
Poland,1/22/20,0
Portugal,1/22/20,0
Qatar,1/22/20,0
Romania,1/22/20,0
Russia,1/22/20,0
Rwanda,1/22/20,0
Saint Lucia,1/22/20,0
Saint Vincent and the Grenadines,1/22/20,0
San Marino,1/22/20,0
Saudi Arabia,1/22/20,0
Senegal,1/22/20,0
Serbia,1/22/20,0
Seychelles,1/22/20,0
Singapore,1/22/20,0
Slovakia,1/22/20,0
Slovenia,1/22/20,0
Somalia,1/22/20,0
South Africa,1/22/20,0
Spain,1/22/20,0
Sri Lanka,1/22/20,0
Sudan,1/22/20,0
Suriname,1/22/20,0
Sweden,1/22/20,0
Switzerland,1/22/20,0
Taiwan*,1/22/20,1
Tanzania,1/22/20,0
Thailand,1/22/20,2
Togo,1/22/20,0
Trinidad and Tobago,1/22/20,0
Tunisia,1/22/20,0
Turkey,1/22/20,0
Uganda,1/22/20,0
Ukraine,1/22/20,0
United Arab Emirates,1/22/20,0
United Kingdom (Bermuda),1/22/20,0
United Kingdom (Cayman Islands),1/22/20,0
United Kingdom (Channel Islands),1/22/20,0
United Kingdom (Gibraltar),1/22/20,0
United Kingdom (Isle of Man),1/22/20,0
United Kingdom (Montserrat),1/22/20,0
United Kingdom,1/22/20,0
Uruguay,1/22/20,0
US,1/22/20,1
Uzbekistan,1/22/20,0
Venezuela,1/22/20,0
Vietnam,1/22/20,0
Zambia,1/22/20,0
Zimbabwe,1/22/20,0
Canada (Diamond Princess),1/22/20,0
Dominica,1/22/20,0
Grenada,1/22/20,0
Mozambique,1/22/20,0
Syria,1/22/20,0
Timor-Leste,1/22/20,0
Belize,1/22/20,0
Canada (Recovered),1/22/20,0
Laos,1/22/20,0
Libya,1/22/20,0
West Bank and Gaza,1/22/20,0
Guinea-Bissau,1/22/20,0
Mali,1/22/20,0
Saint Kitts and Nevis,1/22/20,0
Canada (Northwest Territories),1/22/20,0
Canada (Yukon),1/22/20,0
Kosovo,1/22/20,0
Afghanistan,1/23/20,0
Albania,1/23/20,0
Algeria,1/23/20,0
Andorra,1/23/20,0
Angola,1/23/20,0
Antigua and Barbuda,1/23/20,0
Argentina,1/23/20,0
Armenia,1/23/20,0
Australia (Australian Capital Territory),1/23/20,0
Australia (New South Wales),1/23/20,0
Australia (Northern Territory),1/23/20,0
Australia (Queensland),1/23/20,0
Australia (South Australia),1/23/20,0
Australia (Tasmania),1/23/20,0
Australia (Victoria),1/23/20,0
Australia (Western Australia),1/23/20,0
Austria,1/23/20,0
Azerbaijan,1/23/20,0
Bahamas,1/23/20,0
Bahrain,1/23/20,0
Bangladesh,1/23/20,0
Barbados,1/23/20,0
Belarus,1/23/20,0
Belgium,1/23/20,0
Benin,1/23/20,0
Bhutan,1/23/20,0
Bolivia,1/23/20,0
Bosnia and Herzegovina,1/23/20,0
Brazil,1/23/20,0
Brunei,1/23/20,0
Bulgaria,1/23/20,0
Burkina Faso,1/23/20,0
Cabo Verde,1/23/20,0
Cambodia,1/23/20,0
Cameroon,1/23/20,0
Canada (Alberta),1/23/20,0
Canada (British Columbia),1/23/20,0
Canada (Grand Princess),1/23/20,0
Canada (Manitoba),1/23/20,0
Canada (New Brunswick),1/23/20,0
Canada (Newfoundland and Labrador),1/23/20,0
Canada (Nova Scotia),1/23/20,0
Canada (Ontario),1/23/20,0
Canada (Prince Edward Island),1/23/20,0
Canada (Quebec),1/23/20,0
Canada (Saskatchewan),1/23/20,0
Central African Republic,1/23/20,0
Chad,1/23/20,0
Chile,1/23/20,0
China (Anhui),1/23/20,9
China (Beijing),1/23/20,22
China (Chongqing),1/23/20,9
China (Fujian),1/23/20,5
China (Gansu),1/23/20,2
China (Guangdong),1/23/20,32
China (Guangxi),1/23/20,5
China (Guizhou),1/23/20,3
China (Hainan),1/23/20,5
China (Hebei),1/23/20,1
China (Heilongjiang),1/23/20,2
China (Henan),1/23/20,5
China (Hong Kong),1/23/20,2
China (Hubei),1/23/20,444
China (Hunan),1/23/20,9
China (Inner Mongolia),1/23/20,0
China (Jiangsu),1/23/20,5
China (Jiangxi),1/23/20,7
China (Jilin),1/23/20,1
China (Liaoning),1/23/20,3
China (Macau),1/23/20,2
China (Ningxia),1/23/20,1
China (Qinghai),1/23/20,0
China (Shaanxi),1/23/20,3
China (Shandong),1/23/20,6
China (Shanghai),1/23/20,16
China (Shanxi),1/23/20,1
China (Sichuan),1/23/20,8
China (Tianjin),1/23/20,4
China (Tibet),1/23/20,0
China (Xinjiang),1/23/20,2
China (Yunnan),1/23/20,2
China (Zhejiang),1/23/20,27
Colombia,1/23/20,0
Congo (Brazzaville),1/23/20,0
Congo (Kinshasa),1/23/20,0
Costa Rica,1/23/20,0
Cote d'Ivoire,1/23/20,0
Croatia,1/23/20,0
Diamond Princess,1/23/20,0
Cuba,1/23/20,0
Cyprus,1/23/20,0
Czechia,1/23/20,0
Denmark (Faroe Islands),1/23/20,0
Denmark (Greenland),1/23/20,0
Denmark,1/23/20,0
Djibouti,1/23/20,0
Dominican Republic,1/23/20,0
Ecuador,1/23/20,0
Egypt,1/23/20,0
El Salvador,1/23/20,0
Equatorial Guinea,1/23/20,0
Eritrea,1/23/20,0
Estonia,1/23/20,0
Eswatini,1/23/20,0
Ethiopia,1/23/20,0
Fiji,1/23/20,0
Finland,1/23/20,0
France (French Guiana),1/23/20,0
France (French Polynesia),1/23/20,0
France (Guadeloupe),1/23/20,0
France (Mayotte),1/23/20,0
France (New Caledonia),1/23/20,0
France (Reunion),1/23/20,0
France (Saint Barthelemy),1/23/20,0
France (St Martin),1/23/20,0
France (Martinique),1/23/20,0
France,1/23/20,0
Gabon,1/23/20,0
Gambia,1/23/20,0
Georgia,1/23/20,0
Germany,1/23/20,0
Ghana,1/23/20,0
Greece,1/23/20,0
Guatemala,1/23/20,0
Guinea,1/23/20,0
Guyana,1/23/20,0
Haiti,1/23/20,0
Holy See,1/23/20,0
Honduras,1/23/20,0
Hungary,1/23/20,0
Iceland,1/23/20,0
India,1/23/20,0
Indonesia,1/23/20,0
Iran,1/23/20,0
Iraq,1/23/20,0
Ireland,1/23/20,0
Israel,1/23/20,0
Italy,1/23/20,0
Jamaica,1/23/20,0
Japan,1/23/20,2
Jordan,1/23/20,0
Kazakhstan,1/23/20,0
Kenya,1/23/20,0
"Korea, South",1/23/20,1
Kuwait,1/23/20,0
Kyrgyzstan,1/23/20,0
Latvia,1/23/20,0
Lebanon,1/23/20,0
Liberia,1/23/20,0
Liechtenstein,1/23/20,0
Lithuania,1/23/20,0
Luxembourg,1/23/20,0
Madagascar,1/23/20,0
Malaysia,1/23/20,0
Maldives,1/23/20,0
Malta,1/23/20,0
Mauritania,1/23/20,0
Mauritius,1/23/20,0
Mexico,1/23/20,0
Moldova,1/23/20,0
Monaco,1/23/20,0
Mongolia,1/23/20,0
Montenegro,1/23/20,0
Morocco,1/23/20,0
Namibia,1/23/20,0
Nepal,1/23/20,0
Netherlands (Aruba),1/23/20,0
Netherlands (Curacao),1/23/20,0
Netherlands (Sint Maarten),1/23/20,0
Netherlands,1/23/20,0
New Zealand,1/23/20,0
Nicaragua,1/23/20,0
Niger,1/23/20,0
Nigeria,1/23/20,0
North Macedonia,1/23/20,0
Norway,1/23/20,0
Oman,1/23/20,0
Pakistan,1/23/20,0
Panama,1/23/20,0
Papua New Guinea,1/23/20,0
Paraguay,1/23/20,0
Peru,1/23/20,0
Philippines,1/23/20,0
Poland,1/23/20,0
Portugal,1/23/20,0
Qatar,1/23/20,0
Romania,1/23/20,0
Russia,1/23/20,0
Rwanda,1/23/20,0
Saint Lucia,1/23/20,0
Saint Vincent and the Grenadines,1/23/20,0
San Marino,1/23/20,0
Saudi Arabia,1/23/20,0
Senegal,1/23/20,0
Serbia,1/23/20,0
Seychelles,1/23/20,0
Singapore,1/23/20,1
Slovakia,1/23/20,0
Slovenia,1/23/20,0
Somalia,1/23/20,0
South Africa,1/23/20,0
Spain,1/23/20,0
Sri Lanka,1/23/20,0
Sudan,1/23/20,0
Suriname,1/23/20,0
Sweden,1/23/20,0
Switzerland,1/23/20,0
Taiwan*,1/23/20,1
Tanzania,1/23/20,0
Thailand,1/23/20,3
Togo,1/23/20,0
Trinidad and Tobago,1/23/20,0
Tunisia,1/23/20,0
Turkey,1/23/20,0
Uganda,1/23/20,0
Ukraine,1/23/20,0
United Arab Emirates,1/23/20,0
United Kingdom (Bermuda),1/23/20,0
United Kingdom (Cayman Islands),1/23/20,0
United Kingdom (Channel Islands),1/23/20,0
United Kingdom (Gibraltar),1/23/20,0
United Kingdom (Isle of Man),1/23/20,0
United Kingdom (Montserrat),1/23/20,0
United Kingdom,1/23/20,0
Uruguay,1/23/20,0
US,1/23/20,1
Uzbekistan,1/23/20,0
Venezuela,1/23/20,0
Vietnam,1/23/20,2
Zambia,1/23/20,0
Zimbabwe,1/23/20,0
Canada (Diamond Princess),1/23/20,0
Dominica,1/23/20,0
Grenada,1/23/20,0
Mozambique,1/23/20,0
Syria,1/23/20,0
Timor-Leste,1/23/20,0
Belize,1/23/20,0
Canada (Recovered),1/23/20,0
Laos,1/23/20,0
Libya,1/23/20,0
West Bank and Gaza,1/23/20,0
Guinea-Bissau,1/23/20,0
Mali,1/23/20,0
Saint Kitts and Nevis,1/23/20,0
Canada (Northwest Territories),1/23/20,0
Canada (Yukon),1/23/20,0
Kosovo,1/23/20,0
Afghanistan,1/24/20,0
Albania,1/24/20,0
Algeria,1/24/20,0
Andorra,1/24/20,0
Angola,1/24/20,0
Antigua and Barbuda,1/24/20,0
Argentina,1/24/20,0
Armenia,1/24/20,0
Australia (Australian Capital Territory),1/24/20,0
Australia (New South Wales),1/24/20,0
Australia (Northern Territory),1/24/20,0
Australia (Queensland),1/24/20,0
Australia (South Australia),1/24/20,0
Australia (Tasmania),1/24/20,0
Australia (Victoria),1/24/20,0
Australia (Western Australia),1/24/20,0
Austria,1/24/20,0
Azerbaijan,1/24/20,0
Bahamas,1/24/20,0
Bahrain,1/24/20,0
Bangladesh,1/24/20,0
Barbados,1/24/20,0
Belarus,1/24/20,0
Belgium,1/24/20,0
Benin,1/24/20,0
Bhutan,1/24/20,0
Bolivia,1/24/20,0
Bosnia and Herzegovina,1/24/20,0
Brazil,1/24/20,0
Brunei,1/24/20,0
Bulgaria,1/24/20,0
Burkina Faso,1/24/20,0
Cabo Verde,1/24/20,0
Cambodia,1/24/20,0
Cameroon,1/24/20,0
Canada (Alberta),1/24/20,0
Canada (British Columbia),1/24/20,0
Canada (Grand Princess),1/24/20,0
Canada (Manitoba),1/24/20,0
Canada (New Brunswick),1/24/20,0
Canada (Newfoundland and Labrador),1/24/20,0
Canada (Nova Scotia),1/24/20,0
Canada (Ontario),1/24/20,0
Canada (Prince Edward Island),1/24/20,0
Canada (Quebec),1/24/20,0
Canada (Saskatchewan),1/24/20,0
Central African Republic,1/24/20,0
Chad,1/24/20,0
Chile,1/24/20,0
China (Anhui),1/24/20,15
China (Beijing),1/24/20,36
China (Chongqing),1/24/20,27
China (Fujian),1/24/20,10
China (Gansu),1/24/20,2
China (Guangdong),1/24/20,53
China (Guangxi),1/24/20,23
China (Guizhou),1/24/20,3
China (Hainan),1/24/20,8
China (Hebei),1/24/20,2
China (Heilongjiang),1/24/20,4
China (Henan),1/24/20,9
China (Hong Kong),1/24/20,2
China (Hubei),1/24/20,549
China (Hunan),1/24/20,24
China (Inner Mongolia),1/24/20,1
China (Jiangsu),1/24/20,9
China (Jiangxi),1/24/20,18
China (Jilin),1/24/20,3
China (Liaoning),1/24/20,4
China (Macau),1/24/20,2
China (Ningxia),1/24/20,2
China (Qinghai),1/24/20,0
China (Shaanxi),1/24/20,5
China (Shandong),1/24/20,15
China (Shanghai),1/24/20,20
China (Shanxi),1/24/20,1
China (Sichuan),1/24/20,15
China (Tianjin),1/24/20,8
China (Tibet),1/24/20,0
China (Xinjiang),1/24/20,2
China (Yunnan),1/24/20,5
China (Zhejiang),1/24/20,43
Colombia,1/24/20,0
Congo (Brazzaville),1/24/20,0
Congo (Kinshasa),1/24/20,0
Costa Rica,1/24/20,0
Cote d'Ivoire,1/24/20,0
Croatia,1/24/20,0
Diamond Princess,1/24/20,0
Cuba,1/24/20,0
Cyprus,1/24/20,0
Czechia,1/24/20,0
Denmark (Faroe Islands),1/24/20,0
Denmark (Greenland),1/24/20,0
Denmark,1/24/20,0
Djibouti,1/24/20,0
Dominican Republic,1/24/20,0
Ecuador,1/24/20,0
Egypt,1/24/20,0
El Salvador,1/24/20,0
Equatorial Guinea,1/24/20,0
Eritrea,1/24/20,0
Estonia,1/24/20,0
Eswatini,1/24/20,0
Ethiopia,1/24/20,0
Fiji,1/24/20,0
Finland,1/24/20,0
France (French Guiana),1/24/20,0
France (French Polynesia),1/24/20,0
France (Guadeloupe),1/24/20,0
France (Mayotte),1/24/20,0
France (New Caledonia),1/24/20,0
France (Reunion),1/24/20,0
France (Saint Barthelemy),1/24/20,0
France (St Martin),1/24/20,0
France (Martinique),1/24/20,0
France,1/24/20,2
Gabon,1/24/20,0
Gambia,1/24/20,0
Georgia,1/24/20,0
Germany,1/24/20,0
Ghana,1/24/20,0
Greece,1/24/20,0
Guatemala,1/24/20,0
Guinea,1/24/20,0
Guyana,1/24/20,0
Haiti,1/24/20,0
Holy See,1/24/20,0
Honduras,1/24/20,0
Hungary,1/24/20,0
Iceland,1/24/20,0
India,1/24/20,0
Indonesia,1/24/20,0
Iran,1/24/20,0
Iraq,1/24/20,0
Ireland,1/24/20,0
Israel,1/24/20,0
Italy,1/24/20,0
Jamaica,1/24/20,0
Japan,1/24/20,2
Jordan,1/24/20,0
Kazakhstan,1/24/20,0
Kenya,1/24/20,0
"Korea, South",1/24/20,2
Kuwait,1/24/20,0
Kyrgyzstan,1/24/20,0
Latvia,1/24/20,0
Lebanon,1/24/20,0
Liberia,1/24/20,0
Liechtenstein,1/24/20,0
Lithuania,1/24/20,0
Luxembourg,1/24/20,0
Madagascar,1/24/20,0
Malaysia,1/24/20,0
Maldives,1/24/20,0
Malta,1/24/20,0
Mauritania,1/24/20,0
Mauritius,1/24/20,0
Mexico,1/24/20,0
Moldova,1/24/20,0
Monaco,1/24/20,0
Mongolia,1/24/20,0
Montenegro,1/24/20,0
Morocco,1/24/20,0
Namibia,1/24/20,0
Nepal,1/24/20,0
Netherlands (Aruba),1/24/20,0
Netherlands (Curacao),1/24/20,0
Netherlands (Sint Maarten),1/24/20,0
Netherlands,1/24/20,0
New Zealand,1/24/20,0
Nicaragua,1/24/20,0
Niger,1/24/20,0
Nigeria,1/24/20,0
North Macedonia,1/24/20,0
Norway,1/24/20,0
Oman,1/24/20,0
Pakistan,1/24/20,0
Panama,1/24/20,0
Papua New Guinea,1/24/20,0
Paraguay,1/24/20,0
Peru,1/24/20,0
Philippines,1/24/20,0
Poland,1/24/20,0
Portugal,1/24/20,0
Qatar,1/24/20,0
Romania,1/24/20,0
Russia,1/24/20,0
Rwanda,1/24/20,0
Saint Lucia,1/24/20,0
Saint Vincent and the Grenadines,1/24/20,0
San Marino,1/24/20,0
Saudi Arabia,1/24/20,0
Senegal,1/24/20,0
Serbia,1/24/20,0
Seychelles,1/24/20,0
Singapore,1/24/20,3
Slovakia,1/24/20,0
Slovenia,1/24/20,0
Somalia,1/24/20,0
South Africa,1/24/20,0
Spain,1/24/20,0
Sri Lanka,1/24/20,0
Sudan,1/24/20,0
Suriname,1/24/20,0
Sweden,1/24/20,0
Switzerland,1/24/20,0
Taiwan*,1/24/20,3
Tanzania,1/24/20,0
Thailand,1/24/20,5
Togo,1/24/20,0
Trinidad and Tobago,1/24/20,0
Tunisia,1/24/20,0
Turkey,1/24/20,0
Uganda,1/24/20,0
Ukraine,1/24/20,0
United Arab Emirates,1/24/20,0
United Kingdom (Bermuda),1/24/20,0
United Kingdom (Cayman Islands),1/24/20,0
United Kingdom (Channel Islands),1/24/20,0
United Kingdom (Gibraltar),1/24/20,0
United Kingdom (Isle of Man),1/24/20,0
United Kingdom (Montserrat),1/24/20,0
United Kingdom,1/24/20,0
Uruguay,1/24/20,0
US,1/24/20,2
Uzbekistan,1/24/20,0
Venezuela,1/24/20,0
Vietnam,1/24/20,2
Zambia,1/24/20,0
Zimbabwe,1/24/20,0
Canada (Diamond Princess),1/24/20,0
Dominica,1/24/20,0
Grenada,1/24/20,0
Mozambique,1/24/20,0
Syria,1/24/20,0
Timor-Leste,1/24/20,0
Belize,1/24/20,0
Canada (Recovered),1/24/20,0
Laos,1/24/20,0
Libya,1/24/20,0
West Bank and Gaza,1/24/20,0
Guinea-Bissau,1/24/20,0
Mali,1/24/20,0
Saint Kitts and Nevis,1/24/20,0
Canada (Northwest Territories),1/24/20,0
Canada (Yukon),1/24/20,0
Kosovo,1/24/20,0
Afghanistan,1/25/20,0
Albania,1/25/20,0
Algeria,1/25/20,0
Andorra,1/25/20,0
Angola,1/25/20,0
Antigua and Barbuda,1/25/20,0
Argentina,1/25/20,0
Armenia,1/25/20,0
Australia (Australian Capital Territory),1/25/20,0
Australia (New South Wales),1/25/20,0
Australia (Northern Territory),1/25/20,0
Australia (Queensland),1/25/20,0
Australia (South Australia),1/25/20,0
Australia (Tasmania),1/25/20,0
Australia (Victoria),1/25/20,0
Australia (Western Australia),1/25/20,0
Austria,1/25/20,0
Azerbaijan,1/25/20,0
Bahamas,1/25/20,0
Bahrain,1/25/20,0
Bangladesh,1/25/20,0
Barbados,1/25/20,0
Belarus,1/25/20,0
Belgium,1/25/20,0
Benin,1/25/20,0
Bhutan,1/25/20,0
Bolivia,1/25/20,0
Bosnia and Herzegovina,1/25/20,0
Brazil,1/25/20,0
Brunei,1/25/20,0
Bulgaria,1/25/20,0
Burkina Faso,1/25/20,0
Cabo Verde,1/25/20,0
Cambodia,1/25/20,0
Cameroon,1/25/20,0
Canada (Alberta),1/25/20,0
Canada (British Columbia),1/25/20,0
Canada (Grand Princess),1/25/20,0
Canada (Manitoba),1/25/20,0
Canada (New Brunswick),1/25/20,0
Canada (Newfoundland and Labrador),1/25/20,0
Canada (Nova Scotia),1/25/20,0
Canada (Ontario),1/25/20,0
Canada (Prince Edward Island),1/25/20,0
Canada (Quebec),1/25/20,0
Canada (Saskatchewan),1/25/20,0
Central African Republic,1/25/20,0
Chad,1/25/20,0
Chile,1/25/20,0
China (Anhui),1/25/20,39
China (Beijing),1/25/20,41
China (Chongqing),1/25/20,57
China (Fujian),1/25/20,18
China (Gansu),1/25/20,4
China (Guangdong),1/25/20,78
China (Guangxi),1/25/20,23
China (Guizhou),1/25/20,4
China (Hainan),1/25/20,19
China (Hebei),1/25/20,8
China (Heilongjiang),1/25/20,9
China (Henan),1/25/20,32
China (Hong Kong),1/25/20,5
China (Hubei),1/25/20,761
China (Hunan),1/25/20,43
China (Inner Mongolia),1/25/20,7
China (Jiangsu),1/25/20,18
China (Jiangxi),1/25/20,18
China (Jilin),1/25/20,4
China (Liaoning),1/25/20,17
China (Macau),1/25/20,2
China (Ningxia),1/25/20,3
China (Qinghai),1/25/20,1
China (Shaanxi),1/25/20,15
China (Shandong),1/25/20,27
China (Shanghai),1/25/20,33
China (Shanxi),1/25/20,6
China (Sichuan),1/25/20,28
China (Tianjin),1/25/20,10
China (Tibet),1/25/20,0
China (Xinjiang),1/25/20,3
China (Yunnan),1/25/20,11
China (Zhejiang),1/25/20,62
Colombia,1/25/20,0
Congo (Brazzaville),1/25/20,0
Congo (Kinshasa),1/25/20,0
Costa Rica,1/25/20,0
Cote d'Ivoire,1/25/20,0
Croatia,1/25/20,0
Diamond Princess,1/25/20,0
Cuba,1/25/20,0
Cyprus,1/25/20,0
Czechia,1/25/20,0
Denmark (Faroe Islands),1/25/20,0
Denmark (Greenland),1/25/20,0
Denmark,1/25/20,0
Djibouti,1/25/20,0
Dominican Republic,1/25/20,0
Ecuador,1/25/20,0
Egypt,1/25/20,0
El Salvador,1/25/20,0
Equatorial Guinea,1/25/20,0
Eritrea,1/25/20,0
Estonia,1/25/20,0
Eswatini,1/25/20,0
Ethiopia,1/25/20,0
Fiji,1/25/20,0
Finland,1/25/20,0
France (French Guiana),1/25/20,0
France (French Polynesia),1/25/20,0
France (Guadeloupe),1/25/20,0
France (Mayotte),1/25/20,0
France (New Caledonia),1/25/20,0
France (Reunion),1/25/20,0
France (Saint Barthelemy),1/25/20,0
France (St Martin),1/25/20,0
France (Martinique),1/25/20,0
France,1/25/20,3
Gabon,1/25/20,0
Gambia,1/25/20,0
Georgia,1/25/20,0
Germany,1/25/20,0
Ghana,1/25/20,0
Greece,1/25/20,0
Guatemala,1/25/20,0
Guinea,1/25/20,0
Guyana,1/25/20,0
Haiti,1/25/20,0
Holy See,1/25/20,0
Honduras,1/25/20,0
Hungary,1/25/20,0
Iceland,1/25/20,0
India,1/25/20,0
Indonesia,1/25/20,0
Iran,1/25/20,0
Iraq,1/25/20,0
Ireland,1/25/20,0
Israel,1/25/20,0
Italy,1/25/20,0
Jamaica,1/25/20,0
Japan,1/25/20,2
Jordan,1/25/20,0
Kazakhstan,1/25/20,0
Kenya,1/25/20,0
"Korea, South",1/25/20,2
Kuwait,1/25/20,0
Kyrgyzstan,1/25/20,0
Latvia,1/25/20,0
Lebanon,1/25/20,0
Liberia,1/25/20,0
Liechtenstein,1/25/20,0
Lithuania,1/25/20,0
Luxembourg,1/25/20,0
Madagascar,1/25/20,0
Malaysia,1/25/20,3
Maldives,1/25/20,0
Malta,1/25/20,0
Mauritania,1/25/20,0
Mauritius,1/25/20,0
Mexico,1/25/20,0
Moldova,1/25/20,0
Monaco,1/25/20,0
Mongolia,1/25/20,0
Montenegro,1/25/20,0
Morocco,1/25/20,0
Namibia,1/25/20,0
Nepal,1/25/20,1
Netherlands (Aruba),1/25/20,0
Netherlands (Curacao),1/25/20,0
Netherlands (Sint Maarten),1/25/20,0
Netherlands,1/25/20,0
New Zealand,1/25/20,0
Nicaragua,1/25/20,0
Niger,1/25/20,0
Nigeria,1/25/20,0
North Macedonia,1/25/20,0
Norway,1/25/20,0
Oman,1/25/20,0
Pakistan,1/25/20,0
Panama,1/25/20,0
Papua New Guinea,1/25/20,0
Paraguay,1/25/20,0
Peru,1/25/20,0
Philippines,1/25/20,0
Poland,1/25/20,0
Portugal,1/25/20,0
Qatar,1/25/20,0
Romania,1/25/20,0
Russia,1/25/20,0
